,1,2,3,4,5,6,7,8,9,10,11,12,id,13,14,15,16,17,18
odds,164.1,63.4,20.6,32.8,7.4,2.3,34.9,17.9,64.0,260.2,2.7,273.1,202210040802,14.3,,,,,
odds,42.7,11.6,12.3,259.9,5.9,84.7,414.2,65.5,32.2,8.8,14.7,10.4,202210040803,22.7,2.1,157.9,31.2,,
odds,441.5,16.7,79.4,139.8,27.0,21.5,31.9,91.6,16.5,13.2,3.2,67.4,202210040804,68.3,9.7,38.0,138.8,2.5,25.8
odds,46.7,9.2,84.5,27.8,2.1,7.6,13.1,3.7,27.8,165.3,27.3,,202210040805,,,,,,
odds,10.9,31.5,7.5,59.4,88.7,163.4,19.7,31.9,5.8,57.7,24.3,8.6,202210040806,2.1,112.2,14.9,,,
odds,86.4,---.-,253.7,81.7,4.8,14.8,6.4,56.3,3.2,37.9,5.3,43.2,202210040807,22.6,37.0,10.4,15.9,,
odds,161.4,19.8,1.8,10.0,23.7,12.8,47.7,2.8,---.-,117.3,21.1,,202210040808,,,,,,
odds,48.3,58.9,92.7,15.5,57.6,9.9,4.5,46.3,9.0,41.2,7.9,9.5,202210040809,26.8,30.2,10.2,21.6,28.9,6.0
odds,76.2,133.9,2.8,7.6,159.0,12.9,10.4,96.1,88.1,20.9,4.3,31.8,202210040810,9.5,7.3,,,,
odds,7.4,28.1,193.9,8.9,6.2,14.2,6.5,33.2,2.6,21.1,31.6,55.7,202210040811,51.2,,,,,
odds,103.9,21.2,23.9,70.9,139.1,82.7,12.7,5.2,46.9,3.9,29.7,73.0,202210040812,7.2,6.2,4.3,,,
