,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,id,16,17,18
odds,18.7,16.4,17.3,3.3,18.5,3.0,15.1,36.7,7.3,42.9,42.3,24.4,130.4,16.2,122.3,202204030708,,,
odds,22.5,2.1,174.6,35.7,109.0,183.8,17.1,3.7,34.8,8.4,5.0,34.4,,,,202204030709,,,
odds,16.1,3.9,10.2,22.0,14.4,30.4,143.4,84.4,13.2,1.9,22.9,45.9,111.3,,,202204030710,,,
odds,55.6,18.2,30.7,86.2,2.9,121.4,9.3,12.9,230.7,5.9,22.4,195.3,5.0,6.9,29.1,202204030711,,,
odds,2.4,8.5,12.7,260.1,156.9,4.6,180.5,51.4,292.1,23.6,181.0,18.3,225.6,50.6,18.8,202204030712,89.2,6.2,22.5
odds,303.0,46.8,434.4,87.1,2.2,383.2,6.4,14.2,12.6,3.5,224.7,155.3,8.9,,,202204030801,,,
odds,339.0,4.7,33.8,10.8,307.7,464.7,38.9,11.1,215.9,5.3,221.8,536.1,19.3,7.1,288.0,202204030802,3.0,442.5,79.4
odds,41.4,7.7,5.4,139.6,3.6,45.4,71.7,6.6,22.1,19.0,34.5,5.0,37.4,20.8,21.7,202204030803,,,
odds,6.9,145.5,51.1,184.1,21.5,207.9,61.7,5.3,117.5,4.1,10.5,14.6,33.3,281.6,634.5,202204030804,12.1,23.5,3.9
odds,18.5,26.4,8.8,20.1,115.7,3.8,3.4,6.6,18.9,73.6,83.4,25.3,9.9,,,202204030805,,,
odds,63.1,11.7,16.3,35.7,92.5,---.-,68.5,85.7,4.9,39.5,144.8,20.9,97.3,38.5,165.4,202204030806,5.1,2.5,21.8
odds,7.0,28.6,34.0,10.2,5.5,445.3,7.8,247.9,157.4,37.2,13.0,15.9,52.9,2.5,17.4,202204030807,,,
odds,151.3,272.1,163.2,8.6,33.6,210.8,23.1,98.5,15.5,1.6,11.4,275.8,4.4,33.4,311.5,202204030808,,,
odds,6.4,10.5,133.6,10.3,21.4,25.1,6.1,19.3,102.2,23.6,69.5,4.6,3.6,22.7,,202204030809,,,
odds,1.7,35.2,9.9,40.9,21.9,13.3,64.1,71.6,5.3,22.4,93.2,15.2,52.9,33.0,100.1,202204030810,,,
odds,14.0,47.5,63.0,7.0,3.9,22.0,30.0,12.3,8.2,49.4,70.3,79.7,126.0,117.1,9.6,202204030811,8.2,21.7,7.5
odds,76.2,129.7,160.6,281.3,38.6,119.5,4.3,11.7,130.9,17.3,7.0,6.0,24.9,11.8,13.5,202204030812,10.7,14.5,7.1
