,1,2,3,4,5,6,7,8,9,10,11,12,id,13,14,15,16
odds,21.0,54.3,1.4,29.8,136.2,3.6,47.1,121.3,35.5,17.7,15.7,139.6,202201020207,,,,
odds,42.1,20.0,23.1,9.1,2.9,3.2,14.5,199.4,58.4,306.0,18.7,9.9,202201020208,7.5,,,
odds,20.1,1.5,3.7,8.1,14.9,160.7,101.2,145.0,12.2,,,,202201020209,,,,
odds,1.5,6.0,10.2,43.4,8.3,183.2,15.9,51.8,120.5,23.1,52.8,22.5,202201020210,140.3,,,
odds,76.9,11.3,10.2,121.7,5.2,15.8,30.1,5.5,52.7,25.5,133.8,5.7,202201020211,38.6,8.3,6.7,25.0
odds,55.8,18.5,7.0,5.1,32.6,27.9,3.5,19.7,3.9,12.4,50.3,10.9,202201020212,,,,
odds,19.6,82.4,4.5,9.9,2.5,66.6,2.8,209.3,46.2,35.0,,,202201020301,,,,
odds,298.8,358.2,89.7,4.6,6.6,57.9,1.5,15.5,156.1,22.9,104.8,20.6,202201020302,,,,
odds,18.9,9.8,53.5,142.6,52.6,196.0,5.8,2.2,5.8,70.7,75.0,8.6,202201020303,176.1,9.4,,
odds,164.5,5.9,7.7,13.8,124.6,7.9,40.5,55.4,9.3,208.6,40.2,43.6,202201020304,369.1,18.0,3.7,4.7
odds,16.7,16.0,83.9,44.4,4.1,3.9,99.5,7.0,9.1,235.0,49.1,4.0,202201020305,,,,
odds,3.5,4.7,40.7,58.4,10.2,3.7,17.2,152.7,12.0,39.3,126.7,8.2,202201020306,26.4,119.3,,
odds,56.0,36.8,125.7,254.2,3.2,7.5,19.5,124.0,5.3,221.6,10.1,99.4,202201020307,3.2,39.0,21.4,53.4
odds,408.6,118.6,35.2,82.4,13.6,12.3,20.5,75.7,3.1,2.3,4.5,69.2,202201020308,,,,
odds,20.7,47.2,6.1,38.4,5.8,24.5,40.8,11.8,2.4,60.1,6.1,35.0,202201020309,38.4,36.7,,
odds,6.4,8.1,20.3,71.4,12.2,21.4,3.4,2.3,35.6,41.8,81.9,,202201020310,,,,
odds,55.9,6.9,49.8,4.7,4.7,48.1,14.9,18.1,26.5,27.6,40.8,226.2,202201020311,2.5,117.6,,
odds,2.9,14.1,4.0,3.7,204.9,5.4,35.4,9.3,,,,,202201020312,,,,
odds,296.8,13.6,3.2,21.9,19.6,51.8,79.0,270.6,11.3,6.5,2.4,163.9,202201020401,201.2,41.0,,
odds,106.8,5.5,5.6,12.5,17.0,16.9,34.2,197.9,25.9,2.0,73.2,9.0,202201020402,,,,
odds,6.8,52.8,141.3,11.3,20.3,1.8,241.1,12.2,27.9,9.3,---.-,9.4,202201020403,33.1,24.1,,
odds,1.9,12.8,77.8,2.9,43.8,147.5,17.9,46.0,28.3,26.1,48.0,90.6,202201020404,12.0,247.3,,
odds,6.1,31.9,43.9,6.4,4.2,1.7,,,,,,,202201020405,,,,
odds,21.3,33.4,3.2,7.5,29.0,20.6,6.3,8.3,6.4,105.2,109.2,5.0,202201020406,,,,
odds,94.0,62.4,3.4,3.0,17.0,6.9,32.7,24.8,11.1,35.2,8.4,11.7,202201020407,65.0,,,
odds,26.3,39.5,2.9,169.6,6.2,51.7,6.9,198.3,12.5,45.5,55.9,17.3,202201020408,26.7,3.3,,
odds,83.0,10.3,5.4,78.4,9.7,2.7,4.8,393.2,8.8,272.5,9.9,,202201020409,,,,
odds,10.6,76.5,4.3,12.8,36.8,68.2,2.0,239.5,93.0,55.1,19.3,14.1,202201020410,8.7,42.1,,
odds,50.0,322.9,3.3,4.6,365.4,7.0,29.1,138.4,13.6,3.3,52.4,85.6,202201020411,32.3,18.7,284.3,28.8
odds,115.9,34.8,7.6,2.7,45.4,108.6,6.3,5.7,19.0,135.6,78.0,24.4,202201020412,233.1,118.3,10.5,7.5
odds,119.2,12.0,4.6,22.2,1.2,49.6,13.3,,,,,,202201020501,,,,
odds,87.6,110.8,52.8,2.2,134.9,14.8,5.1,2.2,,,,,202201020502,,,,
odds,10.1,59.9,17.0,86.4,52.4,47.7,3.5,4.4,57.7,5.0,3.4,167.2,202201020503,,,,
odds,3.2,47.0,138.9,46.9,140.5,7.7,6.3,2.0,94.2,15.5,323.0,54.4,202201020504,82.0,438.5,,
odds,82.8,5.9,1.7,13.0,6.2,5.3,63.1,,,,,,202201020505,,,,
odds,70.8,23.7,---.-,19.9,81.2,3.1,4.6,24.2,7.4,11.0,6.4,207.0,202201020506,202.2,5.9,,
odds,10.0,68.1,309.7,1.5,55.9,152.8,6.3,53.9,141.5,6.5,34.9,106.2,202201020507,11.1,342.2,,
odds,27.1,127.4,54.5,32.1,5.9,72.5,2.5,84.5,2.8,458.9,7.0,12.8,202201020508,224.2,247.5,,
odds,14.1,4.0,358.1,31.3,121.6,51.1,5.3,4.6,209.4,120.1,204.2,3.2,202201020509,7.8,88.4,,
odds,4.2,38.2,21.9,48.9,9.9,5.0,87.0,33.9,121.7,12.1,7.7,10.4,202201020510,4.9,14.9,,
odds,62.2,212.7,10.2,19.9,4.6,18.8,97.5,26.5,5.9,4.4,55.0,9.2,202201020511,5.0,20.7,,
odds,3.9,30.8,11.9,359.9,3.5,4.1,6.7,234.9,12.8,16.5,255.1,207.0,202201020512,22.7,98.0,,
odds,7.7,69.9,8.6,6.8,3.0,166.9,56.7,2.3,,,,,202201020601,,,,
odds,32.6,120.1,458.7,18.6,111.9,11.8,3.7,4.5,3.0,11.6,152.1,99.5,202201020602,9.9,21.2,,
odds,7.9,7.9,395.1,291.6,37.2,15.3,4.2,12.8,14.5,26.8,2.0,209.7,202201020603,,,,
odds,18.7,12.1,89.4,9.9,4.5,10.8,36.9,12.6,25.9,64.4,12.9,5.2,202201020604,3.9,96.3,,
odds,7.6,3.0,8.6,38.2,96.3,3.7,3.1,,,,,,202201020605,,,,
odds,24.1,58.9,51.4,8.5,70.3,36.5,391.4,68.2,51.3,11.1,18.4,20.8,202201020606,1.5,20.3,50.5,12.1
odds,15.4,193.0,11.1,126.5,41.1,8.3,3.4,17.4,13.2,2.4,9.3,248.2,202201020607,,,,
odds,8.1,60.6,250.5,8.9,6.3,508.1,55.9,24.4,2.1,4.5,80.6,135.1,202201020608,103.5,16.7,,
odds,3.7,20.0,5.4,55.0,393.1,34.8,76.2,8.1,89.4,10.3,10.8,57.9,202201020609,3.6,44.7,19.4,211.2
odds,21.9,34.3,6.4,25.4,---.-,1.5,33.2,20.8,---.-,105.9,64.6,168.5,202201020610,10.0,8.6,,
odds,7.8,58.2,---.-,184.3,6.0,20.0,61.4,12.3,6.7,14.7,31.4,36.5,202201020611,13.6,8.7,15.9,3.8
odds,7.3,137.0,3.9,33.4,22.1,167.5,16.0,6.5,173.0,24.3,7.1,4.9,202201020612,83.6,6.4,,
odds,111.3,22.8,42.2,9.3,28.1,96.1,74.2,349.0,19.7,106.6,2.8,1.9,202201020701,237.7,148.8,,
odds,19.3,174.3,220.3,307.4,12.9,1.2,162.5,47.4,9.7,34.7,9.2,,202201020702,,,,
odds,178.5,16.7,3.7,1.5,52.0,45.6,16.5,57.9,140.1,20.3,14.4,48.7,202201020703,274.6,,,
odds,85.0,32.4,12.3,448.4,108.3,5.3,56.7,60.2,14.4,3.9,308.2,27.5,202201020704,4.2,109.1,4.7,13.1
odds,9.7,137.1,54.1,11.7,176.6,1.9,16.3,3.9,23.5,16.2,286.9,80.8,202201020705,46.7,,,
odds,2.5,26.9,12.8,130.5,19.4,99.7,112.3,7.7,4.8,4.3,16.7,24.5,202201020706,,,,
odds,95.1,22.7,11.5,69.4,6.8,5.5,8.5,76.8,4.4,21.0,22.9,39.8,202201020707,5.9,9.8,61.3,107.5
odds,24.7,15.9,83.7,9.6,197.7,3.7,55.6,6.6,41.7,2.2,21.0,65.6,202201020708,376.0,19.4,,
odds,131.8,8.2,170.0,19.0,25.3,75.7,61.1,22.0,24.1,60.1,3.0,11.8,202201020709,171.9,3.2,10.5,14.0
odds,8.9,3.0,5.9,12.4,41.9,9.4,61.0,10.7,34.9,5.6,21.5,319.0,202201020710,85.1,19.3,,
odds,6.1,24.2,4.5,141.5,68.5,4.7,86.4,42.7,7.9,53.9,85.9,4.2,202201020711,14.6,24.5,,
odds,22.2,70.5,2.9,14.4,75.6,4.3,67.1,50.2,7.9,6.0,34.9,168.1,202201020712,5.6,214.2,,
odds,7.1,178.2,11.3,16.8,1.7,9.1,6.0,18.3,,,,,202201020801,,,,
odds,46.8,29.9,4.6,21.0,486.4,146.8,19.5,6.6,271.0,2.0,156.4,143.9,202201020802,17.5,9.8,,
odds,11.6,87.0,40.2,5.8,111.5,10.5,2.7,75.1,9.0,128.3,9.3,126.7,202201020803,44.8,4.6,,
odds,62.1,58.3,267.0,15.2,6.6,3.4,251.5,213.8,29.6,64.8,50.2,2.3,202201020804,46.7,18.4,7.8,132.6
odds,41.1,37.4,12.0,33.7,27.5,2.6,351.9,7.0,59.2,2.5,206.7,192.9,202201020805,40.1,13.9,,
odds,43.1,156.4,9.0,33.6,1.9,16.2,49.5,13.4,11.2,13.1,7.5,115.4,202201020806,77.2,174.8,13.1,59.7
odds,6.6,13.6,5.2,72.6,8.6,49.0,118.9,10.1,151.3,120.1,5.6,30.6,202201020807,4.4,7.5,,
odds,104.5,298.6,5.4,23.3,118.8,5.6,18.3,88.4,56.2,106.9,4.3,3.5,202201020808,5.4,33.8,,
odds,6.0,3.7,199.3,45.1,43.3,54.7,54.7,140.9,12.3,15.7,142.3,6.1,202201020809,3.6,15.0,,
odds,7.3,37.3,5.5,169.5,171.4,15.2,3.6,6.1,50.2,25.3,16.8,7.7,202201020810,8.4,97.6,49.1,
odds,18.7,6.7,54.2,6.4,3.8,63.7,14.7,59.5,2.6,32.7,9.1,,202201020811,,,,
odds,7.1,4.5,126.0,17.0,45.5,40.7,7.2,97.2,2.8,246.4,19.9,5.1,202201020812,52.6,154.9,,
